id;nome;status;numero_serie
1;Kiribati Soft PNG;Ergonomic system;scalable Minnesota
2;Granite;paradigms networks;Israel facilitate
3;magenta;Cambridgeshire compressing;Intuitive
4;mobile killer Hat;Account capacity Handcrafted;Infrastructure niches Clothing
5;Books Glen asymmetric;SAS Hryvnia Home;HDD
6;Enhanced 5th;drive methodologies Legacy;Mobility generating web-readiness
7;lavender Idaho;holistic experiences parallelism;grey XSS
8;Health Cheese;Pizza;Frozen COM
9;Texas Checking Dynamic;SCSI Loan;Tunisia
10;CSS Yemen;override;Accountability
